YearMonth,Exchange_Rate
1994-10,0.0995
1994-11,0.1023
1995-01,0.105
1995-02,0.107
1995-03,0.1108
1995-04,0.1137
1995-05,0.1155
1995-06,0.1177
1995-07,0.1204
1995-08,0.1215
1995-09,0.1335
1995-10,0.1355
1995-11,0.1425
1995-12,0.1453
1996-01,0.1501
1996-02,0.1544
1996-03,0.158
1996-04,0.1608
1996-05,0.1632
1996-06,0.1665
1996-07,0.1687
1996-08,0.168
1996-09,0.1715
1996-10,0.1723
1996-11,0.1734
1996-12,0.174
1997-01,0.1754
1997-02,0.1835
1997-03,0.191
1997-04,0.197
1997-05,0.2026
1997-06,0.2115
1997-07,0.213
1997-08,0.2185
1997-09,0.2225
1997-10,0.223
1997-11,0.224
1997-12,0.226
1998-01,0.229
1998-02,0.23
1998-03,0.2315
1998-04,0.2323
1998-05,0.233
1998-06,0.2329
1998-07,0.2348
1998-08,0.2325
1998-09,0.2325
1998-10,0.234
1998-11,0.235
1998-12,0.234
1999-01,0.2355
1999-02,0.2365
1999-03,0.2418
1999-04,0.2515
1999-05,0.2433
1999-06,0.2551
1999-07,0.2602
1999-08,0.2647
1999-09,0.2706
1999-10,0.3005
1999-11,0.3386
1999-12,0.3453
2000-01,0.3529
2000-02,0.3771
2000-03,0.4057
2000-04,0.483
2000-05,0.4725
2000-06,0.54
2000-07,0.6075
2000-08,0.705
2000-09,0.6534
2000-10,0.725
2000-11,0.714
2000-12,0.6825
2001-01,0.6899
2001-02,0.7016
2001-03,0.705
2001-04,0.7135
2001-05,0.76
2001-06,0.7149
2001-07,0.715
2001-08,0.7218
2001-09,0.709
2001-11,0.725
2002-01,0.7325
2002-02,0.76
2002-03,0.7675
2002-04,0.796
2002-05,0.8005
2002-06,0.7923
2002-07,0.809
2002-08,0.8163
2002-09,0.8142
2002-10,0.826
2002-11,0.8375
2002-12,0.8352
2003-01,0.8375
2003-02,0.83
2003-03,0.8375
2003-04,0.8635
2003-05,0.8675
2003-06,0.868
2003-07,0.845
2003-08,0.855
2003-09,0.855
2003-10,0.8538
2003-11,0.88
2003-12,0.865
2004-01,0.8675
2004-02,0.88
2004-03,0.8813
2004-04,0.885
2004-05,0.9008
2004-06,0.9
2004-07,0.9032
2004-08,0.9012
2004-09,0.901
2004-10,0.9
2004-11,0.902
2004-12,0.9
2005-01,0.9
2005-02,0.9018
2005-03,0.9025
2005-04,0.9027
2005-05,0.9025
2005-06,0.9038
2005-07,0.904
2005-08,0.905
2005-09,0.9062
2005-10,0.9075
2005-11,0.91
2005-12,0.91
2006-01,0.9095
2006-02,0.914
2006-03,0.9163
2006-04,0.914
2006-05,0.9153
2006-06,0.916
2006-07,0.9225
2006-08,0.92
2006-09,0.923
2006-10,0.9243
2006-11,0.9214
2006-12,0.9223
2007-01,0.921
2007-02,0.9295
2007-03,0.9263
2007-04,0.927
2007-05,0.9276
2007-06,0.9267
2007-07,0.9307
2007-08,0.9405
2007-09,0.9485
2007-10,0.9625
2007-11,0.9855
2007-12,0.9645
2008-01,0.9688
2008-02,0.9688
2008-03,0.9878
2008-04,1.004
2008-05,1.0162
2008-06,1.105
2008-07,1.155
2008-08,1.1567
2008-09,1.1595
2008-10,1.1715
2008-11,1.2143
2008-12,1.2728
2009-01,1.3402
2009-02,1.3925
2009-03,1.412
2009-04,1.4538
2009-05,1.475
2009-06,1.4955
2009-07,1.4965
2009-08,1.4615
2009-09,1.4463
2009-10,1.4307
2009-11,1.4287
2009-12,1.4318
2010-01,1.4312
2010-02,1.4272
2010-03,1.4207
2010-04,1.413
2010-05,1.43
2010-06,1.4425
2010-07,1.4383
2010-08,1.4347
2010-09,1.425
2010-10,1.432
2010-11,1.4465
2010-12,1.4825
2011-01,1.5625
2011-02,1.502
2011-03,1.509
2011-04,1.5065
2011-05,1.504
2011-06,1.512
2011-07,1.5098
2011-08,1.5254
2011-09,1.601
2011-10,1.5935
2011-11,1.663
2011-12,1.637
2012-01,1.6771
2012-02,1.7
2012-03,1.775
2012-04,1.853
2012-05,1.8803
2012-06,1.94
2012-07,1.9518
2012-08,1.9306
2012-09,1.8944
2012-10,1.8878
2012-11,1.9011
2012-12,1.903
2013-01,1.901
2013-02,1.915
2013-03,1.935
2013-04,1.972
2013-05,1.995
2013-06,2.025
2013-07,2.065
2013-08,2.1475
2013-09,2.165
2013-10,2.22
2013-11,2.26
2013-12,2.35
2014-01,2.37
2014-02,2.57
2014-03,2.69
2014-04,2.82
2014-05,3.0343
2014-06,3.31
2014-07,3.45
2014-08,3.75
2014-09,3.27
2014-10,3.22
2014-11,3.19
2014-12,3.185
2015-01,3.33
2015-02,3.49
2015-03,3.81
2015-04,3.83
2015-05,4.06
2015-06,4.3392
2015-07,3.82
2015-08,3.9
2015-09,3.73
2015-10,3.775
2015-11,3.7738
2015-12,3.8
2016-01,3.9361
2016-02,3.9289
2016-03,3.8062
2016-04,3.8085
2016-05,3.8086
2016-06,3.94
2016-07,3.8965
2016-08,3.9659
2016-09,3.9344
2016-10,3.97
2016-11,4.2805
2016-12,4.2771
2017-01,4.3457
2017-02,4.69
2017-03,4.3361
2017-04,4.2188
2017-05,4.3269
2017-06,4.3768
2017-07,4.37
2017-08,4.3968
2017-09,4.368
2017-10,4.39
2017-11,4.53
2017-12,4.522
2018-01,4.495
2018-02,4.455
2018-03,4.4125
2018-04,4.495
2018-05,4.7173
2018-06,4.7649
2018-07,4.715
2018-08,4.735
2018-09,4.775
2018-10,4.8284
2018-11,4.9036
2018-12,4.82
2019-01,4.9291
2019-02,5.4945
2019-03,5.4831
2019-04,5.1408
2019-05,5.3946
2019-06,5.43
2019-07,5.38
2019-08,5.45
2019-09,5.42
2019-10,5.445
2019-11,5.53
2019-12,5.66
2020-01,5.4862
2020-02,5.4658
2020-03,5.765
2020-04,5.775
2020-05,5.785
2020-06,5.785
2020-07,5.76
2020-08,5.78
2020-09,5.79
2020-10,5.8275
2020-11,5.87
2020-12,5.84
2021-01,5.815
2021-02,5.73
2021-03,5.75
2021-04,5.76
2021-05,5.78
2021-06,5.85
2021-07,5.98
2021-08,6.04
2021-09,6.05
2021-10,6.11
2021-11,6.135
2021-12,6.15
2022-01,6.275
2022-02,6.725
2022-03,7.525
2022-04,7.525
2022-05,7.8
2022-06,8.025
2022-07,8.45
2022-08,10.1
2022-09,10.375
2022-10,14
2022-11,14.4
2022-12,9.98
2023-01,12.5
2023-02,12.85
2023-03,11.55
2023-04,11.8
2023-05,11.25
2023-06,11.325
2023-07,11.32
2023-08,11.35
2023-09,11.55
2023-10,11.88
2023-11,11.95
2023-12,11.9
2024-01,12.3
2024-02,12.6
2024-03,13.2
2024-04,13.62
2024-05,14.8
2024-06,15.25
2024-07,15.5
2024-08,15.58
2024-09,15.75
2024-10,16.25
2024-11,15.2
